Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E06000012,North East Lincolnshire,Yorkshire and The Humber,88114,6588,15233,38913,8115,88114,11295,17800,8712,5179,1997,1220,742,1233,9605,11066,9605,19,157,2272,567,359,41180,4040,3423,6360,868,88114,9605,14.0
E07000099,North Hertfordshire,East of England,66049,6904,11953,40500,7801,66049,6942,4815,5147,5435,3240,1928,2229,556,28689,8180,28689,113,2442,457,159,211,27107,2061,875,4567,476,66049,28689,42.7
E07000139,North Kesteven,East Midlands,61182,5354,10529,33773,7236,61182,4736,4960,7709,6687,4813,1446,1255,1542,15406,8338,15406,26,300,517,96,267,32959,2050,1285,3469,517,61182,15406,27.1
E06000013,North Lincolnshire,Yorkshire and The Humber,93457,7082,15120,45246,8775,93457,10651,13554,8429,9924,4503,2521,1411,1256,13277,10697,13277,21,131,1036,233,378,47177,4265,2307,6617,781,93457,13277,17.4
E07000147,North Norfolk,East of England,61321,6006,9703,20901,5048,61321,5157,2148,3720,5574,3321,1897,739,848,10106,8149,10106,36,289,367,106,268,23868,1398,808,3865,545,61321,10106,24.3
E06000061,North Northamptonshire,East Midlands,180670,15223,31446,111942,20244,180670,21942,23847,19142,25585,10935,4402,2569,3301,42162,24970,42162,107,921,2469,1739,604,101925,10782,2905,13596,1645,180670,42162,23.6
E06000024,North Somerset,South West,114026,11232,21733,58675,11062,114026,12386,9580,9107,13035,6532,2206,820,1178,33466,14392,33466,30,801,1782,386,509,51958,3798,1951,7185,833,114026,33466,32.6
E08000022,North Tyneside,North East,111702,7898,20231,60931,8205,111702,9667,15154,15781,10744,1126,496,588,1218,30738,11752,30738,3041,681,4343,791,294,43934,4121,1885,6177,1260,111702,30738,31.6
E07000218,North Warwickshire,West Midlands,33281,2913,5913,19336,3592,33281,2623,2782,4556,5027,2227,736,322,352,8411,4718,8411,9,189,397,117,116,18812,1430,280,1748,246,33281,8411,26.5
E07000134,North West Leicestershire,East Midlands,52744,4760,9170,31766,6265,52744,4923,4986,5269,8516,3455,1329,773,735,14874,7098,14874,18,66,669,165,262,30052,1952,595,2922,385,52744,14874,28.6
E06000057,Northumberland,North East,179790,14253,30161,80360,16003,179790,15804,9758,14851,20726,8955,4064,3356,3755,38430,21078,38430,206,610,3995,586,286,76220,5930,1463,11346,1705,179790,38430,27.3
E07000148,Norwich,East of England,78202,8039,13934,38164,5585,78202,11212,13127,5567,2713,1810,1426,476,1229,19468,8692,19468,58,321,3096,494,570,24555,2753,4044,9611,751,78202,19468,29.6
