Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E08000024,Sunderland,North East,157021,9391,25313,73524,8924,157021,13789,20071,19596,14598,2222,1225,532,1408,27418,16292,27418,1066,520,7848,888,305,60684,6697,1499,8803,1423,157021,27418,23.4
E07000214,Surrey Heath,South East,45090,4659,7725,27139,5840,45090,3829,4163,4362,4627,2229,782,764,440,18509,5659,18509,35,681,521,92,190,20502,1308,484,2634,407,45090,18509,40.8
E09000029,Sutton,London,105415,10702,18501,64135,10888,105415,9304,13798,12352,10763,1813,504,364,586,38024,16716,38024,3815,6442,6899,436,952,36070,2412,1561,6484,1129,105415,38024,36.5
E07000113,Swale,South East,82474,6660,12860,40567,9116,82474,8371,6864,5859,9022,3807,1584,1796,1570,17587,12740,17587,73,2200,477,214,387,37930,2990,935,5725,684,82474,17587,25.4
W06000011,Swansea,Wales,137877,10054,22462,59498,8600,137877,11575,17665,17719,8857,1795,1431,1294,1828,25495,12954,25495,53,440,2859,812,334,56355,5259,1101,6984,919,137877,25495,25.3
E06000030,Swindon,South West,115544,9588,20643,77579,10056,115544,13011,22630,15402,4584,3227,1882,2920,2189,36022,16002,36022,64,514,6612,830,559,55279,6049,3289,7517,1131,115544,36022,30.6
E08000008,Tameside,North West,125417,8523,20690,68222,8219,125417,12419,17406,17283,12293,1747,772,801,911,25970,16052,25970,895,1326,5818,1013,336,55422,4889,1199,7739,1047,125417,25970,24.6
E07000199,Tamworth,West Midlands,40489,3248,7059,24114,3737,40489,4736,6865,3197,5210,3039,825,336,458,8238,5254,8238,10,337,794,253,179,22401,2382,739,2533,293,40489,8238,21.6
E07000215,Tandridge,South East,45299,4896,7593,23964,6122,45299,2350,2509,4435,4640,2176,902,398,208,18441,6516,18441,113,1949,610,104,191,17606,1063,192,1920,385,45299,18441,43.3
E07000045,Teignbridge,South West,72666,7295,14271,33592,6979,72666,6660,5689,7532,8666,3248,911,863,892,17497,10178,17497,22,612,1059,121,432,33785,2228,779,5013,590,72666,17497,28.2
E06000020,Telford and Wrekin,West Midlands,100044,7164,15467,54198,8668,100044,9829,15548,12318,6781,4567,1880,1461,1426,20430,11257,20430,41,525,1134,2347,364,48046,5392,1297,5159,762,100044,20430,23.9
E07000076,Tendring,East of England,90008,6940,13218,31130,6993,90008,7984,5310,4931,7129,3780,948,1140,1920,13322,11817,13322,77,1090,642,288,309,33570,2432,1018,4895,638,90008,13322,22.9
E07000093,Test Valley,South East,64631,6591,11983,39188,8102,64631,6595,6064,5424,5365,4178,1761,1158,1279,23856,10182,23856,33,510,570,247,256,31784,2418,1102,4528,562,64631,23856,36.2
E07000083,Tewkesbury,South West,48360,4548,9244,27898,4832,48360,4236,4690,6900,5553,1486,604,743,717,15532,6063,15532,21,79,1034,43,206,24174,1520,1088,2489,336,48360,15532,33.4
E07000114,Thanet,South East,81397,6864,13294,32623,6409,81397,8201,10407,6272,2742,3210,709,781,1728,14408,10731,14408,72,1448,2076,561,362,29473,3166,1194,5787,641,81397,14408,24.3
E07000102,Three Rivers,East of England,46823,5174,8308,27041,6425,46823,2855,4427,4903,4334,2635,747,306,284,19608,6849,19608,1698,1101,491,153,165,19817,1170,403,1948,395,46823,19608,41.8
E06000034,Thurrock,East of England,90052,7878,15103,53072,9895,90052,7684,10781,8784,10527,6274,3334,887,743,21081,15856,21081,1980,6046,2602,555,530,43245,3548,1016,4355,990,90052,21081,24.5
E07000115,Tonbridge and Malling,South East,67775,6872,11657,37086,8811,67775,4803,4826,6659,6854,3207,1725,2098,513,23812,9931,23812,78,2200,603,123,283,30531,1984,564,3712,539,67775,23812,37.0
E06000027,Torbay,South West,80389,6943,14221,32078,5693,80389,11133,8196,8816,3530,1551,1088,526,826,12155,11117,12155,20,340,1971,379,580,31532,3068,702,7442,746,80389,12155,20.6
W06000020,Torfaen,Wales,51621,3040,8044,26129,3445,51621,5084,5442,6022,5481,2180,735,467,548,9051,5645,9051,14,189,896,359,182,25181,2129,199,2184,270,51621,9051,22.3
E07000046,Torridge,South West,38061,3842,7334,14726,4151,38061,3576,2405,2227,5108,1650,593,460,713,7776,5546,7776,7,45,604,68,152,16989,1174,217,2746,273,38061,7776,25.9
E09000030,Tower Hamlets,London,154914,15607,25230,90675,23880,154914,14961,18779,17789,6560,1016,592,685,991,78219,15802,78219,21452,7111,9010,896,787,14106,985,7208,13900,1721,154914,78219,50.3
E08000009,Trafford,North West,123494,10658,20998,68817,11085,123494,9724,14627,15256,9956,2121,864,923,955,45450,11680,45450,2476,520,3068,771,230,46255,3126,2499,6204,959,123494,45450,40.7
E07000116,Tunbridge Wells,South East,59413,6414,10239,31163,8082,59413,5948,5323,4058,4068,1984,1211,1708,512,23633,7454,23633,67,1724,835,130,192,21856,1629,506,4855,473,59413,23633,42.3
E07000077,Uttlesford,East of England,45598,5694,8404,25062,6581,45598,3033,2383,3371,5304,2565,1634,1858,614,18011,6969,18011,125,991,294,89,127,21785,1131,319,2453,415,45598,18011,39.4
W06000014,Vale of Glamorgan,Wales,72024,5646,12592,35437,6240,72024,6402,5552,8301,7103,2537,701,622,766,20395,7536,20395,38,1363,925,222,214,30055,2064,626,3510,506,72024,20395,34.0
E07000180,Vale of White Horse,South East,68049,6631,12180,43896,8157,68049,5900,4917,7513,8118,3734,1191,692,965,29239,8595,29239,41,344,1941,103,344,29825,1988,2313,4229,495,68049,29239,41.3
E08000036,Wakefield,Yorkshire and The Humber,188729,12950,32221,103426,16044,188729,18463,22509,23212,27684,6980,2379,956,1762,36965,23731,36965,58,1555,6240,2150,632,92253,9602,1834,11976,1377,188729,36965,22.5
E08000030,Walsall,West Midlands,165591,10648,25252,71975,10658,165591,13564,19909,20290,16610,3248,1228,1122,1376,22044,19140,22044,270,1101,7237,1532,414,68776,6944,1415,7690,1111,165591,22044,18.6
E09000031,Waltham Forest,London,138054,15075,25668,84719,14909,138054,9939,12834,18624,16894,2100,811,493,996,52765,24917,52765,25097,6810,10142,762,858,27532,1974,4975,7773,1684,138054,52765,37.6
E09000032,Wandsworth,London,137064,15478,23170,115966,35828,137064,11655,18303,23644,9786,1216,557,431,923,107639,16289,107639,16503,7948,13863,821,1747,17724,1041,9146,12338,1671,137064,107639,56.5
E06000007,Warrington,North West,107783,9162,18826,65546,9657,107783,10064,17211,12283,9141,5962,1759,505,952,32647,12667,32647,51,686,2056,764,408,52839,4639,2552,5666,883,107783,32647,31.6
E07000222,Warwick,West Midlands,75705,7788,12597,44328,8035,75705,8293,7646,5711,6553,2743,946,649,971,32535,6702,32535,47,635,896,193,183,28640,2140,1402,5567,510,75705,32535,44.7
E07000103,Watford,East of England,49387,5061,9246,32858,5694,49387,7829,5725,3948,4570,3336,572,323,327,17899,8330,17899,1547,1872,1636,312,258,19958,1620,996,6181,582,49387,17899,33.9
E07000216,Waverley,South East,67507,7740,11152,32672,9158,67507,4903,3832,3886,6282,1955,1039,1640,528,28929,7728,28929,65,1269,450,73,233,23326,1557,579,3743,498,67507,28929,47.6
E07000065,Wealden,South East,85608,10015,15432,39472,9624,85608,5622,4654,6546,9438,4818,1783,1329,1018,26043,13290,26043,49,1255,696,150,253,38611,2319,530,3989,647,85608,26043,34.9
E07000241,Welwyn Hatfield,East of England,61684,6773,10529,34414,6433,61684,6906,5628,5156,6270,2863,1420,451,428,21001,8026,21001,399,2056,1238,615,230,24092,2071,1259,4651,538,61684,21001,36.1
E06000037,West Berkshire,South East,79141,8512,13838,49764,10193,79141,7924,7772,7206,7284,3408,1463,1271,1169,33988,10822,33988,65,918,1217,133,292,35715,2773,1250,5310,651,79141,33988,41.3
E07000047,West Devon,South West,31712,3397,5685,12630,3672,31712,2914,909,2238,2888,1471,1187,933,413,7973,4459,7973,11,56,284,38,126,13172,829,235,2353,307,31712,7973,31.4
E07000127,West Lancashire,North West,63883,5810,10517,31281,5938,63883,6095,5659,6571,8783,3211,927,586,569,13497,7649,13497,31,695,753,835,141,29653,2781,731,3904,525,63883,13497,25.2
E07000142,West Lindsey,East Midlands,53017,4505,8489,23610,5532,53017,4416,2628,4282,5913,3978,1550,1038,876,10950,6505,10950,16,166,287,108,173,24887,1549,563,3063,374,53017,10950,26.0
E06000062,West Northamptonshire,East Midlands,209730,19541,37514,134486,24454,209730,22493,31168,24198,20405,12442,4758,3351,4250,62832,30097,62832,151,1249,7640,1282,722,110576,11275,3308,14950,2009,209730,62832,29.1
E07000181,West Oxfordshire,South East,55311,6256,10579,34764,7327,55311,7316,2897,6157,7387,3571,1028,551,966,20629,8424,20629,42,272,1156,57,263,28364,1849,1432,4394,466,55311,20629,35.0
E07000245,West Suffolk,East of England,90329,8639,15970,53528,11482,90329,13525,8397,6553,10771,9094,2798,2137,1520,21104,13720,21104,67,353,1056,309,404,51600,3729,2073,8080,848,90329,21104,23.5
E09000033,Westminster,London,102494,10669,13969,51876,25228,102494,10299,13785,7140,2497,510,255,239,621,56766,9630,56766,9768,2080,7075,993,569,6703,542,3600,12238,1409,102494,56766,55.8
E08000010,Wigan,North West,174716,12340,29585,98905,13784,174716,17195,21538,22456,20660,8266,2384,649,1495,34432,25540,34432,61,1227,5514,1172,597,89571,8167,1850,10678,1345,174716,34432,22.3
E06000054,Wiltshire,South West,257988,26840,47964,146830,30711,257988,29517,18751,22318,28376,11760,8488,6689,5146,85967,35331,85967,152,1738,3845,468,1103,122462,8743,4445,21174,2244,257988,85967,34.1
E07000094,Winchester,South East,66871,7594,11335,32954,8690,66871,5881,4266,4010,6404,2900,1365,943,1319,26249,7237,26249,61,578,865,106,219,24217,1628,802,5324,524,66871,26249,43.3
E06000040,Windsor and Maidenhead,South East,77194,8051,12021,44700,11530,77194,6537,5780,6473,6790,2373,1393,979,536,36565,8876,36565,206,1862,444,331,247,27949,1948,1006,4969,774,77194,36565,47.9
E08000015,Wirral,North West,180696,13409,29540,84595,11959,180696,14177,21803,23925,14991,4459,1099,1277,1641,37299,18832,37299,332,3643,6123,1290,598,71581,6033,1874,9101,1626,180696,37299,26.7
E07000217,Woking,South East,51201,5531,8792,31711,6708,51201,4636,4882,5336,3845,1439,1387,474,307,23570,6866,23570,108,1951,615,261,247,19735,1563,902,3275,517,51201,23570,44.7
E06000041,Wokingham,South East,88035,9149,14047,55608,10663,88035,5384,7928,8932,6154,2912,1152,1378,673,45352,9602,45352,124,1376,1336,122,264,33381,2121,1157,3578,656,88035,45352,50.7
E08000031,Wolverhampton,West Midlands,152418,9886,22279,69418,9726,152418,13579,22477,16659,10977,6431,1185,1153,1664,21002,16185,21002,1157,1672,6938,2102,342,60083,7188,1718,7890,1218,152418,21002,18.9
E07000237,Worcester,West Midlands,52243,5101,10355,31303,4869,52243,9031,9421,3182,4021,2412,1865,643,634,13607,6810,13607,26,582,1064,290,217,25742,2510,1335,5833,425,52243,13607,26.4
E07000229,Worthing,South East,57781,6050,11417,31338,4752,57781,8719,8269,3114,4363,2227,690,535,679,16767,8196,16767,40,1426,1053,217,306,23647,2019,1763,5821,499,57781,16767,31.3
W06000006,Wrexham,Wales,73312,4839,12429,38453,6084,73312,7398,11045,10181,7854,3131,1285,939,938,11277,7757,11277,14,223,1525,687,238,38061,4361,683,4242,496,73312,11277,18.2
E07000238,Wychavon,West Midlands,68832,6891,12156,36385,8228,68832,6140,5645,6817,7830,4864,1837,1188,793,19207,9339,19207,29,372,510,118,214,35289,2445,863,4080,534,68832,19207,30.2
E07000128,Wyre,North West,64111,5094,10310,27049,5382,64111,5355,6295,6105,5910,2008,514,552,768,12479,7849,12479,227,247,1128,191,198,26895,1989,834,3038,611,64111,12479,26.1
E07000239,Wyre Forest,West Midlands,55818,4465,9833,26608,4883,55818,6084,6223,4170,5399,3833,937,530,496,10559,7560,10559,17,464,364,318,199,27431,2307,546,3254,331,55818,10559,23.1
E06000014,York,Yorkshire and The Humber,106623,12037,20634,54704,8823,106623,14433,17389,7608,3706,2245,2114,1786,1492,34159,11267,34159,53,593,3194,384,526,35183,2826,7001,11480,797,106623,34159,35.5
